,Tweets,Personal_attack
0,@elijahgenicot Boycottez les #zoo,0
1,Ces deux âmes innocentes ne voient pas de différence. L'égalité est un principe moral fondamental tout comme pour l'#homme. Nous sommes bien souvent bien loin de cela... #animal #AnimalRights  https://t.co/MOavUb8xrK,0
2,"@elijahgenicot @crakelcou Tout est politique, chacun a sa grille de lecture selon ses convictions il n'y a pas de vérité absolue, faut juste assumer sinon on devient l'idiot utile et c'est pire.",0
3,@mjarbo No In short she won't play Mera,0
4,@Sonnyria @crakelcou Je le répète. Il y a activisme et politique. Je ne suis même pas le parti animaliste. .Je suis complètement contre le système politique. L’activisme est un mouvement qui prend de l’ampleur pour diverses causes.Maintenant à chacun de se faire une opinion.,0
5,"It is beyond Devastating!!! This is Kidnapping, of a mothers baby. Is it not what you would call if it was a Human...Stop This Damn Shit!!! #AnimalRights #AnimalCruelty #BeTheirVoice #StopTheKidnapping",0
6,@scamp246 Hard to watch they have feelings just like us those are her babies!!,0
7,@RitaAngels2 Hahaha lol ok,0
8,@sweetasfuk69 Exactly...Ty,0
9,"O I'm now stocked up properly on dehydrated food buckets, cat food &amp; hamster food to wait out Corona chan. It was expensive &amp; my Patreon is way down, I think from the animal rights people spreading libel. I need more exposure maybe? Whose show should I go on?",0
10,@mjarbo I'm happy too,0
11,"@HamptureI Go on Ellen. Not sure how the reception would be, but pull out your death ray and rob her and the audience.",1
12,"To anyone defending Cuties and claiming that ""This is proof that cancel culture is real"":. You need to think before you speak. THE SHOW ISN'T CANCELLED! Nor should it be... Netflix should make that call and if it drives them out of business then great! Dig your own graves!",0
13,"@Aerogers_inc My death ray is 3 watts, it would only blind and slightly irritate them",0
14,"@HamptureI Next time I'm on Twitch when you're streaming, I'll gift a sub or two. In the meantime, after your spot on ExAm Myles mentioned that he enjoyed talking to you on a different show, you could try tracking him down.",0
15,"My grass guy skips a week and it’s fuckin ferngully out here.... had the fight of my life outside tryna wash the elcamino. I won...I’m sorry to any animal rights activists who reads this. Twas either him or me,or my pup,or one of the homies so his ass got the deebo brick. https://t.co/CmhRKvCquE",1
16,@Gatekeeper5150 CNN. Of course. Some journalist,0
17,@CurrenSy_Spitta Go to the pool store and buy a sulfur tablet. Put the tablet in a 10 gallon sprayer of water. Spray the perimeter of your yard. Sulfur dries out snakes and kills them.,0
18,@ItsTheCostanza Wow! The statistic may be correct but it's not something to compare. Could you imagine if I compared that to the million other things that would apply there? You can't compare intentional loss of life to a pandemic.,0
19,@ilduhe @CurrenSy_Spitta I’ll be goddamned I actually learnt something on Curren$y Twitter today. Thanks for the educational moment bruh,0
20,@Gatekeeper5150 I tagged you in it lol,0
21,@HieroBanzai @ilduhe @CurrenSy_Spitta Gentlemen this is fucking wholesome content I needed today,0
22,"Je connais ni marvel, ni Aline dessine mais en 2s,tu sais qu'humainement l'un est ambitieux, à l'écoute et passionné, l'autre une vieille merde se faisant passer pour une victime... La cancel culture dans la justice c'est grave #FreeMarvel",0
23,"@TheRaiq Justement, tu ne connais ni l’un ni l’autre ton avis est donc NORMALEMENT neutre et partiel tu devrais te renseigner sur le sujet et comparer les sources afin de forger ton esprit critique et éviter de suivre l’avis général ",0
24,@_chubbs__ @HieroBanzai @ilduhe @CurrenSy_Spitta Well done sirs handshakes all around,0
25,"@ines_msg Bah, justement je vois juste quelqu'un qu'un qui explique plusieurs fois qu'il ne lui veux pas de mal, qui a fait une vidéo construite. De l'autre quelqu'un qui fait de fausse dick picks et qui joue énormément sur l'émotif.",0
26,@PDocOfficial @_chubbs__ @HieroBanzai @ilduhe @CurrenSy_Spitta No hand shakes... unless you know... https://t.co/ZTNquUvNTG,0
27,@LalaDeann @PDocOfficial @_chubbs__ @HieroBanzai @CurrenSy_Spitta Ay fr this how im coming  https://t.co/ikqWQjHiF0,0
28,"@ines_msg Et comme j'ai dit, une vidéo de 2h ne pas être objective, donc c'était clairement pas son but de déclarer la vérité. Tout se que je vois c'est qu'elle appelle sa commu à camoufler le prob avec toute les story en montrons le soutiens qu'elle reçois",0
29,This animal can never post on facebook or do a march for his rights. Animals are not tools or objects. They are beings that moral right to live as they want. #animalrights #animalliberation  ❤️ https://t.co/Qobcq3Cds4,0
30,@TheRaiq Bien le lavage de cerveau? Regarde la vidéo de aline y'a toutes les preuves,0
31,@mwaleed_o اكيد عندنا في مصر دا,0
32,@Warethhhh هذا يحدث في كثير من الدول العربيه للاسف,0
33,"@Caro_Body Lavage de cerveau ?? J'ai regarder 10 minutes... Bah toutes les 10 s elle rappelle ""j'ai été gentil"" En suite, quand des message qui peux le provoquer sont décrite comme ""juste une réponse à un abonné""... Et c'est juste un première impression ptdr",0
34,#dogmom #dogsoftwitter #dogs #DogLife #AnimalRights #animalrescue https://t.co/uh9zNJv92s,0
35,"@Caro_Body Elle tiens une image de full innocence, alors que bon... Dick pics etc.. Ça confirme tous ce que j'ai dit. Et énormément de cut son hors contexte en toute objectivité c'est juste impossible de départager. C'était du ruinage de vie mutuelle... C'est tout",0
36,@Gr3Te4rights That’s so true!!!!!,0
37,"@Caro_Body J'ai jamais dit que marvel était innocent, j'ai jamais dit qu'il n'avais jamais harceler ?? Donc voila",0
38,Cancel culture is a bitch heh Jesperson! #RyanJesperson fired by @630CHED  You supported the wrath. Now feel the wrath... https://t.co/1EVQj95YSi,0
39,@IRatmiroff https://t.co/0Ldki5KhLR,0
40,@kpac_15 Oh happy day!!!! I’m glad to see his BS finally caught up to him.,0
41,hf twitter might hate me for this but i 100% support those animal rights activists,0
42,@mmack78 @kpac_15 Can we please have @ABDanielleSmith go Western Canada wide? She’s an outstanding radio host and has the beat overall programming.,0
43,"@girlydior tbh buying real animal fur is better than buying fake animal fur if you wanna y’all about environment wise, BUT killing animals that are damn near going extinct is not acceptable",0
44,@chinooksea @mmack78 @ABDanielleSmith Yup. Not sad to see Jesperson go at all.,0
45,@girlydior talk* not y’all lol.,0
46,"Breaking my silence over the controversial proposed NUFC takeover by a group from Saudi Arabia. One of the most backward, medieval, inhospitable places on the planet. And don’t get me started on their animal rights record. As for Saudi Arabia. I don’t know much about the place.",0
47,"In the age of cancel culture, how is Dilbert and Scott Adams not cancelled? Or did newspapers dying already cancel him and nobody told me?",0
48,@Sunder_LAD How does it feel that if this takeover happens our owner will be 6 times richer than ur entire club,0
49,@pvponline Non-USA here: what's wrong with Dilbert and Scott Adams?,0
50,@Fazendo_Nerdice @pvponline He's a Right-wing Nut Job,1
51,@newcastle1211 https://t.co/XxoaC80zGG,0
52,"A Health ""Vegan"" an Environmental ""Vegan"" and a Animal rights Vegan all have the same impact on animals. However, a health ""Vegan"" like Liam Hemsworth or an environmental ""vegan"" like George Monbiot are evidence enough why they're not vegans.",0
53,"Cancel culture is so quick and easy to build a mob and shatter someone's online existence without doing any research. No one wants to look at both sides but assume they are the enemy just because someone else said so. That's where people go blind, in my opinion.",0
54,"@bahnloopi ESPECIALLY when others are cancelling a minor I get that minors make mistakes, and they shouldn't be babied about it because they're growing up, but cancelling them is not the good way to go. Hell, it could cause a lot of trauma to them +",0
55,@SarkyVegan You are pretty judgmental aren’t you? I read your tweets and feel like you made up all the rules &amp; if they aren’t followed then you aren’t a pure vegan.. ....just saying..... you might want to stop being so black / white and remember there’s always shades of color in the middle,0
56,@peters_sheri I feel like you read my tweets and took away what you wanted to take away from the tweets without actually understanding where I'm coming from. Please take care during this difficult time. ✌,0
57,"@bahnloopi the others should give them a stern scolding (like telling how it's wrong) instead of dogpiling them as if they rly deserve it,,,,,,",0
58,@SarkyVegan I was trying to understand. A person can only do that by reading several tweets not just one or two. But I don’t know you and figures into it too you stay safe also ☮️,0
59,"@dreamwastaken2 cancel culture is so dumb, honestly communities and people can be so insanely toxic and i can’t express how much i hate it. people always try to stress things of the past and don’t give a shit about people trying to educate themselves and growing as people. anyways that’s all lol",0
60,"These are the ignorant evil tormentors, torturing innocent beings, imposing their domination and profit from it. Animals are tortured every day and we don't see it. Speak up for them, boycott the circus and all animal use for our fun times! #vegan #govegan #AnimalRights https://t.co/2AlyPmqgUl",0
61,"@dreamwastaken2 in summary, toxic people are dumb and cancel culture fucking sucks :)",0
62,@Ivy_MiddletonUK Torture of #Animals comes in #Psychological and #Physiological forms  Captive #Animals will never know their #NaturalHabitat again and will often never associate with their own #Species either,0
63,"@dreamwastaken2 and even though i may have creators i’m not a fan of and don’t support; it doesn’t mean you have permission to be a shitty person and ruin someone’s life, we’re all learning and growing peeps ;)",0
64,@RobRobbEdwards @_AnimalAdvocate @Ivy_MiddletonUK So sad!!,0
