,Tweet ID,Conversation ID,Depth,Username,Tweet,Date,personal_attack
1300,1301,1291523150920982528,3,brianrkramer,"@ethanclynne Rutherford probably won't win, he's no Hogan.",2020-08-06 20:00:10,0
1301,1302,1291523150920982528,4,ethanclynne,@brianrkramer So is Hogan probs the last of the statewide R’s?,2020-08-06 20:00:31,0
1302,1303,1296959745853501441,1,Bo5stats,"Personally: control, 150 health, 3 viable guns, good maps.",2020-08-21 19:57:54,0
1303,1304,1296959745853501441,2,BlakeHobson7,"@Bo5stats I think 150 health w no stim is confirmed, but that doesn’t really mean anything bc it all depends on how much damage the guns do",2020-08-22 10:19:24,0
1304,1305,1296959745853501441,3,tgpockets,@BlakeHobson7 @Bo5stats It gives you more flexibility in balancing if nothing else,2020-08-22 11:52:15,--
1305,1306,1304565514145067017,1,RBlakeBrown,Bill Kelly: “Canadians want a ban on assault-style weapons” - Hamilton |  https://t.co/R6ySg7YSAE #cdnpoli #guncontrol #IntegrityMarch  https://t.co/fkhjRptLZb,2020-09-11 19:40:30,0
1306,1307,1304565514145067017,2,Centristnature,"@RBlakeBrown Cue up the ""please define assault-style weapons"" responses 🙄  As though the average Canadian cares how this is defined..",2020-09-11 19:47:33,0
1307,1308,1304565514145067017,3,nofunsincanada,@Centristnature @RBlakeBrown Gladly we'll define it however we want to scare the most amount of Canadians onto our side to share in our hatred of guns and gun owners...,2020-09-11 19:54:16,0
1308,1309,1304565514145067017,4,Centristnature,@nofunsincanada @RBlakeBrown I'm tired of seeing your noise on these threads. You offer nothing to this debate. Bye..,2020-09-11 20:17:35,1
1309,1310,1306367264451637254,1,RBlakeBrown,"Between 1989 and 2006, three major mass shootings at Montreal post secondary institutions were committed by men with legally acquired weapons. #cdnpoli #guncontrol  https://t.co/R9Hrnqlgjn",2020-09-16 19:00:01,0
1310,1311,1306367264451637254,2,northtree2,"@RBlakeBrown The greater question is, “What’s in the water in _Montreal_ that causes crazy men to do this?”",2020-09-17 07:46:52,0
1311,1312,1306367264451637254,3,montrealronin,"@northtree2 @RBlakeBrown Something originating in the Great Lakes, obviously.",2020-09-17 12:25:11,0
1312,1313,1308186406553112584,1,LeonydusJohnson,It feels like there's a loaded machine gun sitting on the table and we're all beating each other senseless trying to gain control of it.   This is what happens when you give the government too much power.,2020-09-21 19:28:38,0
1313,1314,1308186406553112584,2,IsItTimeForA,@LeonydusJohnson It wasn't this bad before identity politics came into existence.,2020-09-21 19:31:13,0
1314,1315,1308186406553112584,3,HardTru64414273,@IsItTimeForA @LeonydusJohnson There's always a spark that ignites the flames.  The trick is to not allow the dead wood to build up to crazy proportions in the first place.,2020-09-21 19:42:38,0
1315,1316,1308186406553112584,4,IsItTimeForA,@HardTru64414273 @LeonydusJohnson The dead wood is the Culture of Victimhood fanned by Social Media.,2020-09-21 21:27:23,0
